customer_id,customer_segment
1000,"Medium Value"
1001,"High Value"
1002,"Low Value"
1003,"High Value"
1004,"High Value"
1005,"Medium Value"
1007,"Medium Value"
1008,"Medium Value"
1009,"High Value"
1010,"High Value"
1011,"Medium Value"
1013,"High Value"
1014,"Low Value"
1015,"High Value"
1016,"Medium Value"
1019,"Medium Value"
1020,"Medium Value"
1022,"Medium Value"
1023,"Medium Value"
1024,"Medium Value"
1025,"High Value"
1026,"Medium Value"
1029,"Medium Value"
1030,"High Value"
1031,"High Value"
1033,"High Value"
1034,"Low Value"
1035,"Medium Value"
1036,"Medium Value"
1037,"Medium Value"
1038,"Low Value"
1039,"Medium Value"
1041,"High Value"
1042,"High Value"
1043,"High Value"
1044,"Medium Value"
1045,"Medium Value"
1046,"High Value"
1048,"Medium Value"
1049,"Medium Value"
1050,"High Value"
1052,"Medium Value"
1054,"Medium Value"
1056,"Medium Value"
1057,"High Value"
1058,"Medium Value"
1059,"Medium Value"
1060,"High Value"
1061,"Medium Value"
1063,"High Value"
1065,"Low Value"
1066,"High Value"
1068,"Low Value"
1069,"Medium Value"
1070,"High Value"
1071,"Low Value"
1072,"High Value"
1074,"Medium Value"
1076,"High Value"
1078,"High Value"
1079,"High Value"
1080,"Medium Value"
1081,"Medium Value"
1082,"Low Value"
1083,"High Value"
1084,"High Value"
1085,"High Value"
1086,"High Value"
1087,"Medium Value"
1088,"Medium Value"
1090,"Medium Value"
1091,"High Value"
1092,"Medium Value"
1093,"High Value"
1095,"High Value"
1096,"High Value"
1097,"High Value"
1099,"Medium Value"
1100,"High Value"
1102,"Medium Value"
1103,"High Value"
1104,"High Value"
1105,"High Value"
1106,"Medium Value"
1107,"Medium Value"
1108,"High Value"
1109,"Medium Value"
1110,"High Value"
1111,"Medium Value"
1112,"High Value"
1113,"Low Value"
1114,"High Value"
1115,"High Value"
1116,"High Value"
1118,"High Value"
1119,"High Value"
1120,"Medium Value"
1121,"High Value"
1122,"Medium Value"
1124,"Medium Value"
1126,"Medium Value"
1127,"High Value"
1128,"Medium Value"
1129,"High Value"
1130,"High Value"
1131,"Medium Value"
1132,"High Value"
1133,"Medium Value"
1135,"Medium Value"
1136,"High Value"
1137,"Medium Value"
1138,"High Value"
1139,"Medium Value"
1140,"Medium Value"
1141,"High Value"
1142,"High Value"
1143,"Medium Value"
1144,"Medium Value"
1145,"Medium Value"
1146,"Low Value"
1147,"Medium Value"
1148,"Medium Value"
1149,"Medium Value"
1151,"High Value"
1152,"High Value"
1154,"Medium Value"
1155,"Medium Value"
1157,"High Value"
1158,"Medium Value"
1159,"High Value"
1160,"Medium Value"
1161,"Low Value"
1162,"Medium Value"
1163,"Low Value"
1164,"High Value"
1167,"Medium Value"
1168,"High Value"
1169,"Low Value"
1170,"High Value"
1171,"Medium Value"
1172,"Medium Value"
1173,"Medium Value"
1174,"High Value"
1175,"Medium Value"
1176,"High Value"
1178,"High Value"
1180,"Medium Value"
1181,"High Value"
1182,"High Value"
1183,"High Value"
1185,"High Value"
1186,"High Value"
1187,"High Value"
1188,"High Value"
1189,"High Value"
1190,"Low Value"
1193,"Medium Value"
1194,"High Value"
1195,"Medium Value"
1196,"Medium Value"
1197,"High Value"
1198,"Medium Value"
1199,"High Value"
1200,"High Value"
1201,"Low Value"
1202,"High Value"
1204,"Medium Value"
1205,"Medium Value"
1206,"High Value"
1208,"Low Value"
1209,"High Value"
1210,"Low Value"
1211,"Low Value"
1212,"High Value"
1213,"Medium Value"
1215,"Medium Value"
1216,"Medium Value"
1217,"High Value"
1218,"Medium Value"
1220,"High Value"
1221,"High Value"
1222,"Medium Value"
1223,"Medium Value"
